8.9,Pulp Fiction,"$213,928,762 "
8.3,Braveheart,"$213,216,216 "
8.1,12 Years a Slave,"$187,733,202 "
8.2,Heat,"$187,436,818 "
8.1,Kill Bill: Vol. 1,"$180,906,076 "
8.1,Hacksaw Ridge,"$180,563,636 "
8.3,Le fabuleux destin d'Amélie Poulain,"$173,924,742 "
8.1,The Grand Budapest Hotel,"$172,945,750 "
8.1,No Country for Old Men,"$171,627,166 "
8.4,Mononoke-hime,"$169,785,704 "
8.1,"Three Billboards Outside Ebbing, Missouri","$160,192,267 "
8.2,Unforgiven,"$159,157,447 "
8.2,Die Hard,"$141,603,197 "
8.1,Platoon,"$138,545,632 "
8.1,Soul,"$137,344,653 "
8.1,V for Vendetta,"$132,511,035 "
8.3,Aliens,"$131,060,248 "
8.2,L.A. Confidential,"$126,216,940 "
8.1,Prisoners,"$122,126,687 "
8.5,The Pianist,"$120,072,577 "
8.2,Casino,"$116,112,375 "
8.5,The Prestige,"$109,676,311 "
8.4,Alien,"$106,285,522 "
8.8,Fight Club,"$101,209,702 "
8.1,Spotlight,"$98,690,254 "
8.1,Rush,"$96,983,009 "
8.2,Der Untergang,"$92,181,574 "
8.4,Apocalypse Now,"$92,157,947 "
8.2,El laberinto del fauno,"$83,850,267 "
8.3,Snatch,"$83,557,872 "
8.4,Das Leben der Anderen,"$77,356,942 "
8.2,There Will Be Blood,"$76,182,388 "
8.1,Ben-Hur,"$74,427,638 "
8.3,Eternal Sunshine of the Spotless Mind,"$74,036,715 "
8.3,Scarface,"$65,884,703 "
8.3,2001: A Space Odyssey,"$65,802,496 "
8.1,In the Name of the Father,"$65,796,862 "
8.4,Capharnaüm,"$64,417,003 "
8.2,Andhadhun,"$62,475,342 "
8.1,Fargo,"$60,611,975 "
8.4,3 Idiots,"$60,262,836 "
8.1,Into the Wild,"$56,675,895 "
8.1,Stand by Me,"$52,287,414 "
8.3,Amadeus,"$52,066,791 "
8.5,Whiplash,"$49,396,747 "
9,The Godfather: Part II,"$48,035,783 "
8.4,The Shining,"$46,998,772 "
8.7,Goodfellas,"$46,963,277 "
8.1,The Big Lebowski,"$46,748,047 "
8.3,Full Metal Jacket,"$46,357,676 "
8.3,Lawrence of Arabia,"$45,715,757 "
8.1,Blade Runner,"$41,676,878 "
8.4,Memento,"$40,047,078 "
8.1,Ah-ga-ssi,"$37,767,206 "
8.1,Room,"$35,401,758 "
8.2,El secreto de sus ojos,"$35,079,650 "
8.1,Hotel Rwanda,"$33,882,243 "
