Love and Monsters^^^Action, Adventure, Comedy^^^2020
Arrow^^^Action, Adventure, Crime^^^2012
Titans^^^Action, Adventure, Crime^^^2018
Ron's Gone Wrong^^^Animation, Adventure, Comedy^^^2021
Thor: Ragnarok^^^Action, Adventure, Comedy^^^2017
For All Mankind^^^Drama, Sci-Fi^^^2019
Interstellar^^^Adventure, Drama, Sci-Fi^^^2014
Star Wars: The Clone Wars^^^Animation, Action, Adventure^^^2008
Chaos Walking^^^Action, Adventure, Fantasy^^^2021
Back to the Future^^^Adventure, Comedy, Sci-Fi^^^1985
Jurassic Park^^^Action, Adventure, Sci-Fi^^^1993
Batwoman^^^Action, Adventure, Crime^^^2019
The Forever Purge^^^Action, Horror, Sci-Fi^^^2021
Oxygen^^^Drama, Fantasy, Sci-Fi^^^2021
Voyagers^^^Adventure, Sci-Fi, Thriller^^^2021
Supergirl^^^Action, Adventure, Drama^^^2015
The Tomorrow War^^^Action, Adventure, Sci-Fi^^^2021
Inception^^^Action, Adventure, Sci-Fi^^^2010
Avengers: Infinity War^^^Action, Adventure, Sci-Fi^^^2018
Boss Level^^^Action, Mystery, Sci-Fi^^^2021
Stargate SG-1^^^Action, Adventure, Drama^^^1997
Star Trek: Deep Space Nine^^^Action, Adventure, Drama^^^1993
Spider-Man: Far from Home^^^Action, Adventure, Sci-Fi^^^2019
Borderlands^^^Action, Adventure, Comedy^^^2022
Guardians of the Galaxy^^^Action, Adventure, Comedy^^^2014
Star Trek: Discovery^^^Action, Adventure, Drama^^^2017
Blade Runner 2049^^^Action, Drama, Mystery^^^2017
Solos^^^Drama, Fantasy, Sci-Fi^^^2021
The Hunger Games^^^Action, Adventure, Sci-Fi^^^2012
The Matrix^^^Action, Sci-Fi^^^1999
Star Trek: Voyager^^^Action, Adventure, Sci-Fi^^^1995
Venom: Let There Be Carnage^^^Action, Sci-Fi, Thriller^^^2021
The Sandman^^^Action, Adventure, Drama^^^2021
Hawkeye^^^Action, Adventure, Crime^^^2021
The Stand^^^Adventure, Drama, Fantasy^^^2020
Daredevil^^^Action, Crime, Drama^^^2015
Watchmen^^^Action, Drama, Mystery^^^2009
Smallville^^^Adventure, Drama, Romance^^^2001
Fringe^^^Drama, Mystery, Sci-Fi^^^2008
Ready Player One^^^Action, Adventure, Sci-Fi^^^2018
Resident Evil: Welcome to Raccoon City^^^Action, Horror, Mystery^^^2021
The Avengers^^^Action, Adventure, Sci-Fi^^^2012
Suicide Squad^^^Action, Adventure, Fantasy^^^2016
Dune^^^Action, Adventure, Sci-Fi^^^1984
Stowaway^^^Drama, Sci-Fi, Thriller^^^2021
Doctor Strange in the Multiverse of Madness^^^Action, Adventure, Fantasy^^^2022
Black Panther^^^Action, Adventure, Sci-Fi^^^2018
Occupation: Rainfall^^^Action, Sci-Fi^^^2020
Gotham^^^Action, Crime, Drama^^^2014
Alien^^^Horror, Sci-Fi^^^1979
Star Trek: The Original Series^^^Action, Adventure, Sci-Fi^^^1966
Deadpool^^^Action, Adventure, Comedy^^^2016
Snowpiercer^^^Action, Drama, Sci-Fi^^^2020
Doom Patrol^^^Action, Adventure, Comedy^^^2019
Venom^^^Action, Adventure, Sci-Fi^^^2018
Prometheus^^^Adventure, Mystery, Sci-Fi^^^2012
Arrival^^^Drama, Sci-Fi^^^2016
Spider-Man: Homecoming^^^Action, Adventure, Sci-Fi^^^2017
Resident Alien^^^Comedy, Drama, Mystery^^^2021
Mad Max: Fury Road^^^Action, Adventure, Sci-Fi^^^2015
Guardians of the Galaxy Vol. 2^^^Action, Adventure, Comedy^^^2017
Aquaman^^^Action, Adventure, Fantasy^^^2018
Captain Marvel^^^Action, Adventure, Sci-Fi^^^2019
The Man in the High Castle^^^Drama, Sci-Fi, Thriller^^^2015
Avatar^^^Action, Adventure, Fantasy^^^2009
Person of Interest^^^Action, Crime, Drama^^^2011
Iron Man^^^Action, Adventure, Sci-Fi^^^2008
Captain America: The First Avenger^^^Action, Adventure, Sci-Fi^^^2011
Avengers: Age of Ultron^^^Action, Adventure, Sci-Fi^^^2015
Final Space^^^Animation, Action, Adventure^^^2018
Raised by Wolves^^^Drama, Fantasy, Sci-Fi^^^2020
Spider-Man: Into the Spider-Verse^^^Animation, Action, Adventure^^^2018
Ex Machina^^^Drama, Sci-Fi, Thriller^^^2014
The Prestige^^^Drama, Mystery, Sci-Fi^^^2006
Watchmen^^^Action, Drama, Mystery^^^2019
Ghostbusters^^^Action, Comedy, Fantasy^^^1984
Masters of the Universe^^^Action, Adventure, Fantasy^^^1987
Star Wars: Episode IX - The Rise of Skywalker^^^Action, Adventure, Fantasy^^^2019
Spider-Man^^^Action, Adventure, Sci-Fi^^^2002
Aliens^^^Action, Adventure, Sci-Fi^^^1986
Snake Eyes^^^Action, Adventure, Fantasy^^^2021
Shang-Chi and the Legend of the Ten Rings^^^Action, Adventure, Fantasy^^^2021
Eternal Sunshine of the Spotless Mind^^^Drama, Romance, Sci-Fi^^^2004
Ms. Marvel^^^Action, Adventure, Comedy^^^2021
Space Jam^^^Animation, Adventure, Comedy^^^1996
Star Wars Rebels^^^Animation, Action, Adventure^^^2014
Deadpool 2^^^Action, Adventure, Comedy^^^2018
The Shape of Water^^^Adventure, Drama, Fantasy^^^2017
Battlestar Galactica^^^Action, Adventure, Drama^^^2004
The Orville^^^Adventure, Comedy, Drama^^^2017
Blade Runner^^^Action, Sci-Fi, Thriller^^^1982
Independence Day^^^Action, Adventure, Sci-Fi^^^1996
The Hunger Games: Mockingjay - Part 2,^^^Action, Adventure, Sci-Fi^^^2015
Mortal Kombat^^^Action, Adventure, Fantasy^^^1995
Vivarium^^^Comedy, Horror, Mystery^^^2019
America: The Motion Picture^^^Animation, Action, Adventure^^^2021
The Amazing Spider-Man 2^^^Action, Adventure, Fantasy^^^2014
Under the Skin^^^Drama, Horror, Sci-Fi^^^2013
Super 8^^^Mystery, Sci-Fi, Thriller^^^2011
Spider-Man 2^^^Action, Adventure, Sci-Fi^^^2004
Morbius^^^Action, Adventure, Drama^^^2022
G.I. Joe: The Rise of Cobra^^^Action, Adventure, Sci-Fi^^^2009
Outpost^^^Action, Horror, Sci-Fi^^^2008
Another Life^^^Adventure, Drama, Mystery^^^2019
Black Lightning^^^Action, Drama, Sci-Fi^^^2017
Doctor Who^^^Adventure, Drama, Family^^^1963
She-Ra and the Princesses of Power^^^Animation, Action, Adventure^^^2018
The Hitchhiker's Guide to the Galaxy^^^Adventure, Comedy, Sci-Fi^^^2005
Mad Max^^^Action, Adventure, Sci-Fi^^^1979
Big Hero 6^^^Animation, Action, Adventure^^^2014
The League of Extraordinary Gentlemen^^^Action, Adventure, Fantasy^^^2003
DuckTales^^^Animation, Action, Adventure^^^2017
Lucy^^^Action, Sci-Fi, Thriller^^^2014
Monkey Business^^^Comedy, Sci-Fi^^^1952
Transformers: The Last Knight^^^Action, Adventure, Sci-Fi^^^2017
Back to the Future Part III^^^Adventure, Comedy, Sci-Fi^^^1990
Quantum Leap^^^Action, Adventure, Drama^^^1989
WALL·E^^^Animation, Adventure, Family^^^2008
12 Monkeys^^^Mystery, Sci-Fi, Thriller^^^1995
Iron Fist^^^Action, Adventure, Crime^^^2017
In Time^^^Action, Sci-Fi, Thriller^^^2011
Scoob!^^^Animation, Adventure, Comedy^^^2020
Super Mario Bros.^^^Adventure, Comedy, Family^^^1993
11.22.63^^^Drama, Mystery, Sci-Fi^^^2016
Katla^^^Drama, Mystery, Sci-Fi^^^2021
Outside the Wire^^^Action, Adventure, Fantasy^^^2021
Mars Attacks!^^^Comedy, Sci-Fi^^^1996
The Last Ship^^^Action, Drama, Sci-Fi^^^2014
TRON: Legacy^^^Action, Adventure, Sci-Fi^^^2010
Signs^^^Drama, Mystery, Sci-Fi^^^2002
Star Wars: Episode VI - Return of the Jedi^^^Action, Adventure, Fantasy^^^1983
The Chronicles of Riddick^^^Action, Adventure, Sci-Fi^^^2004
Take Shelter^^^Drama, Sci-Fi, Thriller^^^2011
Paul^^^Adventure, Comedy, Sci-Fi^^^2011
Eden^^^Animation, Action, Adventure^^^2021
Sword Art Online^^^Animation, Action, Adventure^^^2012
X-Men: The Last Stand^^^Action, Adventure, Sci-Fi^^^2006
Babylon 5^^^Action, Adventure, Drama^^^1993
Barbarella^^^Adventure, Comedy, Fantasy^^^1968
Alice in Borderland^^^Action, Fantasy, Mystery^^^2020
Oblivion^^^Action, Adventure, Sci-Fi^^^2013
Breach^^^Action, Sci-Fi^^^2020
Escape from New York^^^Action, Adventure, Sci-Fi^^^1981
The Hunger Games: Catching Fire^^^Action, Adventure, Mystery^^^2013
The Amazing Spider-Man^^^Action, Adventure, Fantasy^^^2012
Weird Science^^^Comedy, Romance, Sci-Fi^^^1985
Minions^^^Animation, Adventure, Comedy^^^2015
Foundation^^^Sci-Fi^^^2021
Unbreakable^^^Drama, Mystery, Sci-Fi^^^2000
Synchronic^^^Drama, Sci-Fi, Thriller^^^2019
